rank,pair,topicA,topicB,novelty,plausibility,coherence,quality,aggregate_risk,evidence,dropped
1,pair-12,"epidemiological forecasting","weather foundation models",0.4463,0.7000,0.8000,0.6488,0.2000,4,0
2,pair-21,"graph neural networks","epidemic spread modeling",0.4461,0.7000,0.8000,0.6487,0.2000,3,0
3,pair-16,"computer vision foundation models","crop yield prediction",0.4226,0.7000,0.8000,0.6409,0.2000,3,0
4,pair-15,"reinforcement learning","de novo molecular design",0.4112,0.7000,0.8000,0.6371,0.2000,3,0
5,pair-18,"knowledge graph embeddings","hypothesis generation",0.4023,0.7000,0.8000,0.6341,0.2000,3,0
6,pair-04,"deep learning weather forecasting","agricultural yield prediction",0.3740,0.7000,0.8000,0.6247,0.2000,3,1
7,pair-06,"weather foundation models","renewable energy planning",0.4765,0.5000,0.8000,0.5922,0.2000,3,0
8,pair-28,"quantum machine learning","materials property prediction",0.4251,0.5000,0.8000,0.5750,0.2000,6,3
9,pair-22,"causal inference","clinical trial design",0.5106,0.5000,0.7000,0.5702,0.2000,3,0
10,pair-19,"speech recognition models","EEG decoding",0.5098,0.5000,0.7000,0.5699,0.2000,2,0
11,pair-23,"materials discovery","climate adaptation",0.5078,0.5000,0.7000,0.5693,0.2000,3,0
12,pair-20,"time-series forecasting","renewable energy planning",0.5034,0.5000,0.7000,0.5678,0.2000,5,0
13,pair-13,"graph neural networks","drug-target interaction prediction",0.3868,0.5000,0.8000,0.5623,0.2000,3,0
14,pair-25,"combinatorial optimization","renewable energy planning",0.4712,0.5000,0.7000,0.5571,0.2000,2,0
15,pair-07,"large language models","human learning curriculum",0.4683,0.5000,0.7000,0.5561,0.2000,3,0
16,pair-26,"multimodal vision-language models","medical image analysis",0.4604,0.5000,0.7000,0.5535,0.2000,3,0
17,pair-27,"recommender systems","personalized learning curriculum",0.4600,0.5000,0.7000,0.5533,0.2000,2,0
18,pair-30,"graph neural networks","weather forecasting",0.4436,0.5000,0.7000,0.5479,0.2000,3,0
19,pair-14,"genomic sequence modeling","large language models",0.4010,0.5000,0.7000,0.5337,0.2000,3,0
20,pair-03,"agentic AI","clinical trial design",0.3917,0.5000,0.7000,0.5306,0.2000,3,1
21,pair-11,"protein language models","materials property prediction",0.3824,0.5000,0.7000,0.5275,0.2000,2,0
22,pair-24,"robotics foundation models","agentic AI",0.3416,0.5000,0.7000,0.5139,0.2000,4,0
23,pair-05,"climate adaptation","language models",0.5312,0.5000,0.5000,0.5104,0.2000,2,1
24,pair-29,"code generation models","automated scientific workflows",0.2782,0.5000,0.7000,0.4927,0.2000,3,0
25,pair-08,"brain inspired architectures","hypothesis generation",0.4695,0.5000,0.5000,0.4898,0.2000,2,0
26,pair-02,"retrieval-augmented generation","de novo molecular design",0.4514,0.5000,0.5000,0.4838,0.2000,4,0
27,pair-17,"federated learning","clinical trial design",0.4110,0.5000,0.5000,0.4703,0.2000,2,0
28,pair-01,"large language models","drug-target interaction prediction",0.2884,0.5000,0.5000,0.4295,0.2000,3,0
29,pair-10,"drug discovery","climate adaptation",0.4889,0.3000,0.4000,0.3963,0.2000,2,0
30,pair-09,"protein folding","weather forecasting",0.4119,0.3000,0.4000,0.3706,0.2000,1,1
